date,product,category,price,quantity,cost
2024-11-01,The Midnight Library,Fiction,28,50,15
2024-11-18,Sapiens: A Brief History of Humankind,Non-Fiction,35,40,20
2024-12-05,Dune,Sci-Fi,25,60,14
2024-12-21,The Hill We Climb,Poetry,20,100,11
2025-01-10,Atomic Habits,Self-Help,22,80,12
2025-01-28,A Promised Land,Biography,45,30,28
2025-02-11,The Vanishing Half,Fiction,26,55,16
2025-02-25,Crying in H Mart,Memoir,24,45,15
2025-03-14,Project Hail Mary,Sci-Fi,30,65,18
2025-03-29,Educated,Memoir,23,50,14
2025-04-07,The Four Winds,Historical Fiction,27,40,17
2025-04-22,Klara and the Sun,Fiction,29,50,18
