date,product,category,price,quantity,cost
2024-11-05,Quantum Laptop,Computers,1250,10,950
2024-11-15,Stellar Smartphone,Mobile,850,25,600
2024-12-10,Nebula Headphones,Audio,350,50,220
2024-12-22,Orion Gaming Mouse,Accessories,75,100,40
2025-01-18,Supernova Smartwatch,Wearables,400,40,280
2025-01-25,Galaxy Tablet,Mobile,650,30,450
2025-02-14,Astro Webcam,Accessories,120,80,70
2025-02-28,Pulsar Power Bank,Accessories,60,150,35
2025-03-10,Comet Mechanical Keyboard,Computers,180,60,110
2025-03-25,Satellite Speakers,Audio,220,45,150
2025-04-05,Voyager VR Headset,Gaming,600,15,480
2025-04-20,Meteor SSD (1TB),Storage,150,70,90
